source_file,iso,no,npd,description,ident,qty
6820-R2-67110-01_SIPG-CS01_0..pdf,6820-R2-67110-01,10,2,VG-4,VG-4,1.0
6820-R2-67110-01_SIPG-CS01_0..pdf,6820-R2-67110-01,11,1/2,VG-7,VG-7,1.0
6820-R2-67111-03_EPCW-CS01_0..pdf,6820-R2-67111-03,11,1,14-PV-68353,14-PV-68353,1.0
6820-R2-67114-02_CTWL-CS01_1.pdf,6820-R2-67114-02,13,1.1/2,14-TI-68499,14-TI-68499,1.0
6820-R2-67115-02_CTWL-CS01_1.pdf,6820-R2-67115-02,11,1.1/2,14-TI-68489,14-TI-68489,1.0
6820-R2-67120-03_EPCW-CS01_1.pdf,6820-R2-67120-03,6,2,14-PI-68679,14-PI-68679,1.0
6820-R2-67121-02_CTWL-CS01_0.pdf,6820-R2-67121-02,15,1.1/2,14-TI-68929,14-TI-68929,1.0
6820-R2-67121-04_CTWL-CS01_0.pdf,6820-R2-67121-04,6,1.1/2,14-PI-68699,14-PI-68699,1.0
6820-R2-67122-02_NOHD-NI03_0.pdf,6820-R2-67122-02,16,6,14-TV-68450,14-TV-68450,1.0
6820-R2-67125-03_NOHD-SS01_1.pdf,6820-R2-67125-03,16,1.1/2,14-TE-68450,14-TE-68450,1.0
6820-R2-67125-04_NOHD-SS01_0..pdf,6820-R2-67125-04,18,4,14-FE-68180,14-FE-68180,1.0
6820-R2-67125-05_NOHD-SS01_1.pdf,6820-R2-67125-05,9,6,14-FV-68180,14-FV-68180,1.0
6820-R2-67129-06_EPCL-SS01_1.pdf,6820-R2-67129-06,7,2,14-PI-68829,14-PI-68829,1.0
6820-R2-67130-06_EPCL-SS01_0.pdf,6820-R2-67130-06,12,8,14-LV-68280,14-LV-68280,1.0
6820-R2-67130-09_EPCL-SS01_1.pdf,6820-R2-67130-09,7,2,14-PI-68819,14-PI-68819,1.0
6820-R2-67133-02_EPCL-SS01_0..pdf,6820-R2-67133-02,11,1,14-AE-68090,14-AE-68090,1.0
6820-R2-67134-03_EPCL-SS01_0..pdf,6820-R2-67134-03,6,1,14-FI-68119,14-FI-68119,1.0
6820-R2-67139-05_CTWL-CS01_0.pdf,6820-R2-67139-05,7,1.1/2,14-PI-68849,14-PI-68849,1.0
6820-R2-67140-06_CTWL-CS01_0.pdf,6820-R2-67140-06,6,3,14-LV-68290,14-LV-68290,1.0
6820-R2-67140-09_CTWL-CS01_0.pdf,6820-R2-67140-09,7,1.1/2,14-PI-68839,14-PI-68839,1.0
6820-R2-67143-01_NOHD-SS01_0..pdf,6820-R2-67143-01,10,2,14-PIT-68353,14-PIT-68353,1.0
6820-R2-67146-02_EPCL-SS01_0..pdf,6820-R2-67146-02,13,2,14-PIT-68370A,14-PIT-68370A,1.0
6820-R2-67146-02_EPCL-SS01_0..pdf,6820-R2-67146-02,14,2,14-PIT-68370B,14-PIT-68370B,1.0
6820-R2-67164-02_CTWL-CS01_2.pdf,6820-R2-67164-02,16,36,14-FE-68170,14-FE-68170,1.0
6820-R2-67164-03_CTWL-CS01_1.pdf,6820-R2-67164-03,12,1.1/2,14-TI-68709,14-TI-68709,1.0
6820-R2-67165-03_POWL-XX01_1.pdf,6820-R2-67165-03,11,1/2,PIT-68300,PIT-68300,1.0
6820-R2-67181-02_SLPG-CS01_1..pdf,6820-R2-67181-02,12,1.1/2,07-PV-79370,07-PV-79370,1.0
6820-R2-67181-05_SLPG-CS01_0..pdf,6820-R2-67181-05,13,2,14-PIT-79370,14-PIT-79370,1.0
6820-R2-67181-06_SLPG-CS01_1.pdf,6820-R2-67181-06,9,1.1/2,14-PI-68869,14-PI-68869,1.0
6820-R2-67184-01_SIPG-CS01_1.pdf,6820-R2-67184-01,15,24,VG-4,VG-4,1.0
6820-R2-67184-01_SIPG-CS01_1.pdf,6820-R2-67184-01,16,2,14-TE-68150,14-TE-68150,1.0
6820-R2-67184-02_SIPG-CS01_1.pdf,6820-R2-67184-02,1,,VG-7,VG-7,
6820-R2-67184-02_SIPG-CS01_1.pdf,6820-R2-67184-02,13,2,VG-4,VG-4,1.0
6820-R2-67184-02_SIPG-CS01_1.pdf,6820-R2-67184-02,15,2,14-PIT-68150,14-PIT-68150,1.0
6820-R2-67184-02_SIPG-CS01_1.pdf,6820-R2-67184-02,16,1/2,14-FIT-68150,14-FIT-68150,1.0
6820-R2-67184-03_SIPG-CS01_1..pdf,6820-R2-67184-03,1,,VG-7,VG-7,
6820-R2-67184-03_SIPG-CS01_1..pdf,6820-R2-67184-03,14,2,VG-4,VG-4,1.0
6820-R2-67184-03_SIPG-CS01_1..pdf,6820-R2-67184-03,17,24,14-FE-68150,14-FE-68150,1.0
6820-R2-67184-03_SIPG-CS01_1..pdf,6820-R2-67184-03,18,1/2,14-FIT-68150,14-FIT-68150,1.0
6820-R2-67184-05_SIPG-CS01_0.pdf,6820-R2-67184-05,5,18,14-FV-68150,14-FV-68150,1.0
6820-R2-67184-06_SIPG-CS01_0.pdf,6820-R2-67184-06,9,2,VG-4,VG-4,1.0
6820-R2-67184-07_SIPG-CS01_0.pdf,6820-R2-67184-07,14,24,VG-4,VG-4,1.0
6820-R2-67184-07_SIPG-CS01_0.pdf,6820-R2-67184-07,15,6X1,SP-6875,SP-6875,1.0
6820-R2-67184-08_SIPG-CS01_0.pdf,6820-R2-67184-08,13,2,14-TE-68421,14-TE-68421,1.0
6820-R2-67184-09_SIPG-CS01_0.pdf,6820-R2-67184-09,7,2,VG-4,VG-4,1.0
6820-R2-67184-12_SIPG-CS01_1..pdf,6820-R2-67184-12,11,1/2,VG-7,VG-7,1.0
6820-R2-67189-01_SIPG-CS01_0..pdf,6820-R2-67189-01,7,2,VG-4,VG-4,1.0
6820-R2-67189-02_SIPG-CS01_0..pdf,6820-R2-67189-02,14,1/2,VG-7,VG-7,1.0
6820-R2-67189-03_SIPG-CS01_0..pdf,6820-R2-67189-03,10,1.1/2,VG-7,VG-7,1.0
6820-R2-67189-03_SIPG-CS01_0..pdf,6820-R2-67189-03,11,1.1/2,14-PI-68899,14-PI-68899,1.0
6820-R2-67189-04_SIPG-CS01_0..pdf,6820-R2-67189-04,7,2,VG-4,VG-4,1.0
6820-R2-67213-02_NOHD-SS03_0.pdf,6820-R2-67213-02,9,1,SP-6841,SP-6841,1.0
6820-R2-67214-01_CTWL-CS01_0..pdf,6820-R2-67214-01,5,3,14-LIT-68290,14-LIT-68290,1.0
6820-R2-67221-03_SIPG-CS01_0.pdf,6820-R2-67221-03,12,24,VG-4,VG-4,1.0
6820-R2-67221-03_SIPG-CS01_0.pdf,6820-R2-67221-03,13,1.1/2,VG-7,VG-7,1.0
6820-R2-67221-03_SIPG-CS01_0.pdf,6820-R2-67221-03,14,1.1/2,14-PI-68859,14-PI-68859,1.0
6820-R2-67222-03_EPCL-SS01_1..pdf,6820-R2-67222-03,9,6,14-FIT-68190,14-FIT-68190,1.0
6820-R2-67225-03_SLPG-CS01_0..pdf,6820-R2-67225-03,8,10X8,14-PSV-68919A,14-PSV-68919A,1.0
6820-R2-67229-02_SCXL-CS02_0..pdf,6820-R2-67229-02,14,1.1/2,14-PI-68769,14-PI-68769,1.0
6820-R2-67271-02_NOHD-NI01_0..pdf,6820-R2-67271-02,5,3,14-LT-68240B,14-LT-68240B,1.0
6820-R2-67271-03_NOHD-NI01_0..pdf,6820-R2-67271-03,8,3,14-LIT-68240B,14-LIT-68240B,1.0
6820-R2-67271-04_NOHD-NI01_0..pdf,6820-R2-67271-04,5,3,14-LT-68240A,14-LT-68240A,1.0
6820-R2-67271-05_NOHD-NI01_0..pdf,6820-R2-67271-05,8,3,14-LIT-68240A,14-LIT-68240A,1.0
6820-R2-67272-01_NOHD-NI01_0..pdf,6820-R2-67272-01,12,2,14-PIT-68351,14-PIT-68351,1.0
6820-R2-67274-01_NOHD-NI01_0..pdf,6820-R2-67274-01,3,1.1/2,14-TE-68411,14-TE-68411,1.0
6820-R2-67275-05_SCXL-CS01_0..pdf,6820-R2-67275-05,4,1.1/2,14-LIT-68200,14-LIT-68200,1.0
6820-R2-67275-06_SCXL-CS01_0..pdf,6820-R2-67275-06,4,1.1/2,14-LIT-68200,14-LIT-68200,1.0
6820-R2-67278-02_NOHD-NI01_0..pdf,6820-R2-67278-02,4,3,14-LIT-68250B,14-LIT-68250B,1.0
6820-R2-67278-03_NOHD-NI01_0..pdf,6820-R2-67278-03,5,3,14-LT-68250B,14-LT-68250B,1.0
6820-R2-67278-04_NOHD-NI01_0..pdf,6820-R2-67278-04,5,3,14-LT-68250A,14-LT-68250A,1.0
6820-R2-67284-01_EPCW-CS01_0..pdf,6820-R2-67284-01,8,1.1/2,14-PIT-68342,14-PIT-68342,1.0
6820-R2-67285-02_NOHD-NI01_0..pdf,6820-R2-67285-02,5,3,14-LT-68260B,14-LT-68260B,1.0
6820-R2-67285-03_NOHD-NI01_0..pdf,6820-R2-67285-03,8,3,14-LIT-68260B,14-LIT-68260B,1.0
6820-R2-67285-04_NOHD-NI01_0..pdf,6820-R2-67285-04,5,3,14-LT-68260A,14-LT-68260A,1.0
6820-R2-67285-05_NOHD-NI01_0..pdf,6820-R2-67285-05,8,3,14-LIT-68260A,14-LIT-68260A,1.0
6820-R2-67286-01_NOHD-NI01_0.pdf,6820-R2-67286-01,11,2,14-PIT-68352,14-PIT-68352,1.0
6820-R2-67287-03_NOHD-NI01_0..pdf,6820-R2-67287-03,3,1.1/2,14-TE-68412,14-TE-68412,1.0
6820-R2-67292-01_EPCW-CS01_0..pdf,6820-R2-67292-01,8,1.1/2,14-PIT-68343,14-PIT-68343,1.0
6820-R2-67293-02_NOHD-SS01_0..pdf,6820-R2-67293-02,5,3,14-LT-68270A,14-LT-68270A,1.0
6820-R2-67293-03_NOHD-SS01_0..pdf,6820-R2-67293-03,9,3,14-LIT-68270B,14-LIT-68270B,1.0
6820-R2-67293-04_NOHD-SS01_0..pdf,6820-R2-67293-04,9,3,14-LIT-68270A,14-LIT-68270A,1.0
6820-R2-67293-05_NOHD-SS01_0..pdf,6820-R2-67293-05,5,3,14-LT-68270B,14-LT-68270B,1.0
6820-R2-67294-03_NOHD-NI01_0..pdf,6820-R2-67294-03,3,1.1/2,14-TE-68413,14-TE-68413,1.0
6820-R2-67296-05_EPCL-SS01_0..pdf,6820-R2-67296-05,4,1.1/2,14-LIT-68280,14-LIT-68280,1.0
6820-R2-67296-06_EPCL-SS01_0..pdf,6820-R2-67296-06,4,1.1/2,14-LIT-68280,14-LIT-68280,1.0
6820-R2-67318-02_SIPG-CS01_0..pdf,6820-R2-67318-02,9,10X6,14-PSV-68909B,14-PSV-68909B,1.0
6820-R2-67320-02_SIPG-CS01_0..pdf,6820-R2-67320-02,9,10X6,14-PSV-68909A,14-PSV-68909A,1.0
6820-R2-67321-01_NOHD-NI01_0..pdf,6820-R2-67321-01,13,1X3/4,14-PSV-68359,14-PSV-68359,1.0
6820-R2-67322-01_NOHD-NI01_0..pdf,6820-R2-67322-01,17,2X1,14-PSV-68719,14-PSV-68719,1.0
6820-R2-67323-01_NOHD-NI01_0..pdf,6820-R2-67323-01,13,1X3/4,14-PSV-68729,14-PSV-68729,1.0
6820-R2-67351-01_NOHD-CS01_0..pdf,6820-R2-67351-01,7,12,14-PSE-68399,14-PSE-68399,1.0
6820-R2-67361-02_SCXL-CS02_1..pdf,6820-R2-67361-02,17,2,14-AE-68001,14-AE-68001,1.0
6820-R2-67361-04_SCXL-CS02_0..pdf,6820-R2-67361-04,16,4,14-LV-68200,14-LV-68200,1.0
6820-R2-67361-05_SCXL-CS02_1..pdf,6820-R2-67361-05,15,6,14-HV-68510,14-HV-68510,1.0
6820-R2-67367-03_SLPG-CS01_0..pdf,6820-R2-67367-03,8,10X8,14-PSV-68919B,14-PSV-68919B,1.0
6820-R2-67375-01_EPCW-CS01_0..pdf,6820-R2-67375-01,3,1.1/2,14-TE-68423,14-TE-68423,1.0
6820-R2-67377-01_SLPG-CS01_0..pdf,6820-R2-67377-01,3,1.1/2,14-TE-68422,14-TE-68422,1.0
6820-R2-67380-03_SIPG-CS01_0..pdf,6820-R2-67380-03,6,3/4,VG-7,VG-7,1.0
6820-R2-67380-04_SIPG-CS01_0..pdf,6820-R2-67380-04,6,3/4,VG-7,VG-7,1.0
6820-R2-67382-01_SIPG-CS01_0..pdf,6820-R2-67382-01,9,1.1/2,14-PIT-68341,14-PIT-68341,1.0
